circuit,position,name,time
Bahrain,1,Lewis Hamilton,01:34.0
Bahrain,2,Max Verstappen,01:33.2
Bahrain,3,Valtteri Bottas,01:32.1
Bahrain,4,Lando Norris,01:34.4
Bahrain,5,Sergio Perez,01:34.0
Bahrain,6,Charles Leclerc,01:35.0
Bahrain,7,Daniel Ricciardo,01:34.9
Bahrain,8,Carlos Sainz,01:34.5
Bahrain,9,Yuki Tsunoda,01:34.8
Bahrain,10,Lance Stroll,01:34.9
Bahrain,11,Kimi Raikkönen,01:35.2
Bahrain,12,Antonio Giovinazzi,01:35.1
Bahrain,13,Esteban Ocon,01:35.3
Bahrain,14,George Russell,01:35.0
Bahrain,15,Sebastian Vettel,01:35.6
Bahrain,16,Mick Schumacher,01:36.1
Bahrain,17,Pierre Gasly,01:34.1
Bahrain,18,Nicholas Latifi,01:36.6
Bahrain,NC,Fernando Alonso,01:36.1
Bahrain,NC,Nikita Mazepin,N/A
Emilia Romagna,1,Max Verstappen,01:17.5
Emilia Romagna,2,Lewis Hamilton,01:16.7
Emilia Romagna,3,Lando Norris,01:18.3
Emilia Romagna,4,Charles Leclerc,01:18.4
Emilia Romagna,5,Carlos Sainz,01:18.5
Emilia Romagna,6,Daniel Ricciardo,01:19.3
Emilia Romagna,7,Pierre Gasly,01:18.8
Emilia Romagna,8,Lance Stroll,01:19.0
Emilia Romagna,9,Esteban Ocon,01:19.4
Emilia Romagna,10,Fernando Alonso,01:19.4
Emilia Romagna,11,Sergio Perez,01:18.3
Emilia Romagna,12,Yuki Tsunoda,01:18.4
Emilia Romagna,13,Kimi Raikkönen,01:19.4
Emilia Romagna,14,Antonio Giovinazzi,01:19.5
Emilia Romagna,15,Sebastian Vettel,01:19.1
Emilia Romagna,16,Mick Schumacher,01:19.2
Emilia Romagna,17,Nikita Mazepin,01:20.4
Emilia Romagna,NC,Valtteri Bottas,01:28.5
Emilia Romagna,NC,George Russell,01:26.5
Emilia Romagna,NC,Nicholas Latifi,N/A
Portugal,1,Lewis Hamilton,01:20.9
Portugal,2,Max Verstappen,01:20.7
Portugal,3,Valtteri Bottas,01:19.9
Portugal,4,Sergio Perez,01:20.6
Portugal,5,Lando Norris,01:21.7
Portugal,6,Charles Leclerc,01:21.5
Portugal,7,Esteban Ocon,01:21.9
Portugal,8,Fernando Alonso,01:21.0
Portugal,9,Daniel Ricciardo,01:22.0
Portugal,10,Pierre Gasly,01:22.0
Portugal,11,Carlos Sainz,01:22.3
Portugal,12,Antonio Giovinazzi,01:22.2
Portugal,13,Sebastian Vettel,01:22.4
Portugal,14,Lance Stroll,01:22.0
Portugal,15,Yuki Tsunoda,01:22.1
Portugal,16,George Russell,01:22.7
Portugal,17,Mick Schumacher,01:22.8
Portugal,18,Nicholas Latifi,01:23.2
Portugal,19,Nikita Mazepin,01:23.6
Portugal,NC,Kimi Raikkönen,N/A
Spain,1,Lewis Hamilton,01:20.7
Spain,2,Max Verstappen,01:18.1
Spain,3,Valtteri Bottas,01:19.4
Spain,4,Charles Leclerc,01:20.5
